File,Lines Covered,Lines Total,Lines %,Functions Covered,Functions Total,Functions %,Branches Covered,Branches Total,Branches %
utils/badgeUtils.ts,13,162,8.02,5,13,38.46,7,11,63.64
utils/dateUtils.ts,41,80,51.25,9,25,36.00,11,13,84.62
utils/taskUtils.ts,17,126,13.49,5,9,55.56,6,10,60.00
utils/transactionUtils.ts,5,47,10.64,5,8,62.50,6,9,66.67
app/node_modules/@apollo/src/cache/core/cache.ts,21,49,42.86,3,17,17.65,5,22,22.73
app/node_modules/@apollo/src/cache/core/types/Cache.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/cache/core/types/common.ts,10,13,76.92,2,2,100.00,2,4,50.00
app/node_modules/@apollo/src/cache/inmemory/entityStore.ts,152,260,58.46,30,63,47.62,65,186,34.95
app/node_modules/@apollo/src/cache/inmemory/helpers.ts,27,43,62.79,8,13,61.54,15,42,35.71
app/node_modules/@apollo/src/cache/inmemory/inMemoryCache.ts,107,174,61.49,21,35,60.00,54,130,41.54
app/node_modules/@apollo/src/cache/inmemory/key-extractor.ts,1,67,1.49,0,20,0.00,0,44,0.00
app/node_modules/@apollo/src/cache/inmemory/object-canon.ts,39,59,66.10,4,8,50.00,11,33,33.33
app/node_modules/@apollo/src/cache/inmemory/policies.ts,111,248,44.76,12,36,33.33,61,212,28.77
app/node_modules/@apollo/src/cache/inmemory/reactiveVars.ts,9,42,21.43,2,14,14.29,1,10,10.00
app/node_modules/@apollo/src/cache/inmemory/readFromStore.ts,101,117,86.32,19,20,95.00,56,92,60.87
app/node_modules/@apollo/src/cache/inmemory/writeToStore.ts,134,211,63.51,23,34,67.65,73,192,38.02
app/node_modules/@apollo/src/core/ApolloClient.ts,55,95,57.89,5,39,12.82,20,56,35.71
app/node_modules/@apollo/src/core/LocalState.ts,32,165,19.39,5,50,10.00,4,125,3.20
app/node_modules/@apollo/src/core/ObservableQuery.ts,160,252,63.49,27,61,44.26,115,202,56.93
app/node_modules/@apollo/src/core/QueryInfo.ts,139,165,84.24,27,29,93.10,94,135,69.63
app/node_modules/@apollo/src/core/QueryManager.ts,242,412,58.74,43,80,53.75,130,326,39.88
app/node_modules/@apollo/src/core/equalByQuery.ts,0,40,0.00,0,5,0.00,0,32,0.00
app/node_modules/@apollo/src/core/index.ts,1,1,100.00,0,0,,1,2,50.00
app/node_modules/@apollo/src/core/networkStatus.ts,10,12,83.33,2,3,66.67,1,4,25.00
app/node_modules/@apollo/src/errors/index.ts,18,24,75.00,4,6,66.67,13,19,68.42
app/node_modules/@apollo/src/link/context/index.ts,13,13,100.00,6,6,100.00,2,4,50.00
app/node_modules/@apollo/src/link/core/ApolloLink.ts,27,53,50.94,9,23,39.13,6,38,15.79
app/node_modules/@apollo/src/link/core/concat.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/core/empty.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/core/execute.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/core/from.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/core/index.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/core/split.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/http/HttpLink.ts,1,3,33.33,1,2,50.00,0,4,0.00
app/node_modules/@apollo/src/link/http/checkFetcher.ts,1,3,33.33,0,1,0.00,0,4,0.00
app/node_modules/@apollo/src/link/http/createHttpLink.ts,2,67,2.99,0,10,0.00,0,67,0.00
app/node_modules/@apollo/src/link/http/createSignalIfSupported.ts,5,5,100.00,1,1,100.00,1,2,50.00
app/node_modules/@apollo/src/link/http/index.ts,1,1,100.00,0,0,,0,0,
app/node_modules/@apollo/src/link/http/iterators/async.ts,0,5,0.00,0,3,0.00,0,0,
app/node_modules/@apollo/src/link/http/iterators/nodeStream.ts,0,49,0.00,0,11,0.00,0,20,0.00
app/node_modules/@apollo/src/link/http/iterators/promise.ts,0,12,0.00,0,5,0.00,0,4,0.00
app/node_modules/@apollo/src/link/http/iterators/reader.ts,0,7,0.00,0,3,0.00,0,2,0.00
